source,line,kind,active_line,shader,exists,menu,raw
portable_config/input_uosc.conf,197,menu,False,Anime4K/Anime4K_Upscale_GAN_x3_L.glsl,True,着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x3_L,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_GAN_x3_L.glsl""          #! 着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x3_L"
portable_config/input_uosc.conf,198,menu,False,Anime4K/Anime4K_Upscale_GAN_x3_VL.glsl,True,着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x3_VL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_GAN_x3_VL.glsl""         #! 着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x3_VL"
portable_config/input_uosc.conf,199,menu,False,Anime4K/Anime4K_Upscale_GAN_x4_UL.glsl,True,着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x4_UL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_GAN_x4_UL.glsl""         #! 着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x4_UL"
portable_config/input_uosc.conf,200,menu,False,Anime4K/Anime4K_Upscale_GAN_x4_UUL.glsl,True,着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x4_UUL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_GAN_x4_UUL.glsl""        #! 着色器 > Anime4K > 放大系列 > GAN变体(不同倍率) > Anime4K_Upscale_GAN_x4_UUL"
portable_config/input_uosc.conf,201,menu,False,Anime4K/Anime4K_Upscale_Original_x2.glsl,True,着色器 > Anime4K > 放大系列 > Original变体(无限制触发倍率)> Anime4K_Upscale_Original_x2,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_Original_x2.glsl""       #! 着色器 > Anime4K > 放大系列 > Original变体(无限制触发倍率)> Anime4K_Upscale_Original_x2"
portable_config/input_uosc.conf,204,menu,False,Anime4K/Anime4K_Upscale_DTD_x2.glsl,True,着色器 > Anime4K > 放大混合系列 > 线条高加粗 > Anime4K_Upscale_DTD_x2,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_DTD_x2.glsl""             #! 着色器 > Anime4K > 放大混合系列 > 线条高加粗 > Anime4K_Upscale_DTD_x2"
portable_config/input_uosc.conf,205,menu,False,Anime4K/Anime4K_Upscale_Deblur_Original_x2.glsl,True,着色器 > Anime4K > 放大混合系列 > 线条中加粗 > Anime4K_Upscale_Deblur_Original_x2（去亮点）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_Deblur_Original_x2.glsl"" #! 着色器 > Anime4K > 放大混合系列 > 线条中加粗 > Anime4K_Upscale_Deblur_Original_x2（去亮点）"
portable_config/input_uosc.conf,206,menu,False,Anime4K/Anime4K_Upscale_DoG_x2.glsl,True,着色器 > Anime4K > 放大混合系列 > 线条低加粗 > Anime4K_Upscale_DoG_x2,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_DoG_x2.glsl""             #! 着色器 > Anime4K > 放大混合系列 > 线条低加粗 > Anime4K_Upscale_DoG_x2"
portable_config/input_uosc.conf,207,menu,False,Anime4K/Anime4K_Upscale_Deblur_DoG_x2.glsl,True,着色器 > Anime4K > 放大混合系列 > 线条低加粗 > Anime4K_Upscale_Deblur_DoG_x2（去亮点）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_Deblur_DoG_x2.glsl""      #! 着色器 > Anime4K > 放大混合系列 > 线条低加粗 > Anime4K_Upscale_Deblur_DoG_x2（去亮点）"
portable_config/input_uosc.conf,209,menu,False,Anime4K/Anime4K_Upscale_Denoise_CNN_x2_S.glsl,True,着色器 > Anime4K > 放大混合系列 > 线条低加粗（越高越细）  > Anime4K_Upscale_Denoise_CNN_x2_S,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_Denoise_CNN_x2_S.glsl""   #! 着色器 > Anime4K > 放大混合系列 > 线条低加粗（越高越细）  > Anime4K_Upscale_Denoise_CNN_x2_S"
